GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0031225	anchored component of membrane	AAEL002547 AAEL005490 AAEL801170 AAEL013251 AAEL010922 AAEL000842 AAEL017310 AAEL000433 AAEL000800 AAEL012893 AAEL000993
GO:0000124	SAGA complex	AAEL000903 AAEL004574
GO:0004329	formate-tetrahydrofolate ligase activity	AAEL006085
GO:0000126	transcription factor TFIIIB complex	AAEL002427 AAEL006998
GO:0000123	histone acetyltransferase complex	AAEL004832 AAEL012180 AAEL006205 AAEL017391 AAEL012951
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	AAEL010488 AAEL007670 AAEL013291
GO:0004322	ferroxidase activity	AAEL010396 AAEL002948 AAEL010393 AAEL007383 AAEL007385 AAEL002158 AAEL000359 AAEL004335
GO:0004320	oleoyl-[acyl-carrier-protein] hydrolase activity	AAEL001194
GO:0004326	tetrahydrofolylpolyglutamate synthase activity	AAEL012882
GO:0004325	ferrochelatase activity	AAEL005415
GO:0046148	pigment biosynthetic process	AAEL006142
GO:0005509	calcium ion binding	AAEL002572 AAEL017253 AAEL003873 AAEL009093 AAEL007725 AAEL007439 AAEL008314 AAEL008318 AAEL014589 AAEL006006 AAEL002221 AAEL008014 AAEL006534 AAEL001566 AAEL007950 AAEL009336 AAEL003476 AAEL001275 AAEL015595 AAEL006921 AAEL005222 AAEL007286 AAEL011343 AAEL013333 AAEL003499 AAEL007494 AAEL003963 AAEL003965 AAEL009175 AAEL005426 AAEL008921 AAEL009327 AAEL007041 AAEL014271 AAEL006955 AAEL008844 AAEL001448 AAEL018317 AAEL002677 AAEL003561 AAEL000485 AAEL001755 AAEL005891 AAEL005082 AAEL007299 AAEL009681 AAEL013062 AAEL007455 AAEL003951 AAEL003952 AAEL000744 AAEL011165 AAEL006102 AAEL014135 AAEL001196 AAEL006362 AAEL012326 AAEL008421 AAEL001473 AAEL001853 AAEL008428 AAEL005639 AAEL010210 AAEL018011 AAEL001074 AAEL013239 AAEL004313 AAEL007856 AAEL002661 AAEL010116 AAEL012394 AAEL015065 AAEL009869 AAEL013147 AAEL000597 AAEL013319 AAEL006055 AAEL005408 AAEL014093 AAEL012251 AAEL000246 AAEL005407 AAEL008069 AAEL014312 AAEL010184 AAEL002672 AAEL008062 AAEL009380 AAEL013038 AAEL007478 AAEL011566 AAEL015549 AAEL004248 AAEL006575 AAEL014347 AAEL006572 AAEL005417 AAEL009428 AAEL005412 AAEL013413 AAEL014222 AAEL003322 AAEL011166 AAEL005978 AAEL011164 AAEL009102 AAEL018288 AAEL002645 AAEL008489 AAEL001584 AAEL002648 AAEL011306 AAEL010014 AAEL011302 AAEL002982 AAEL010712 AAEL001005 AAEL014721 AAEL007563 AAEL009616 AAEL005663 AAEL011979 AAEL005666 AAEL014235 AAEL007002 AAEL005463 AAEL007488 AAEL009739 AAEL018356 AAEL011076 AAEL002539 AAEL010470 AAEL013656 AAEL013873 AAEL013979 AAEL015481 AAEL004222 AAEL012280 AAEL018140 AAEL012513 AAEL010403 AAEL000700 AAEL010965 AAEL002916 AAEL005540 AAEL006074 AAEL012207 AAEL000549 AAEL002291 AAEL002829 AAEL012114 AAEL002116 AAEL014048 AAEL007395 AAEL010792 AAEL007657 AAEL011773 AAEL004201 AAEL005131 AAEL012910 AAEL012043 AAEL011712 AAEL001660 AAEL005983 AAEL005982 AAEL000717 AAEL014519 AAEL012421 AAEL002275 AAEL010789 AAEL001068 AAEL007306 AAEL015100 AAEL006019 AAEL006659 AAEL007226 AAEL013689 AAEL004589 AAEL012905 AAEL006090 AAEL011396 AAEL006096 AAEL005910 AAEL006095 AAEL012909 AAEL018065 AAEL000850 AAEL018270 AAEL004269 AAEL013678 AAEL006492 AAEL012452 AAEL002995
GO:0005506	iron ion binding	AAEL009128 AAEL006804 AAEL000279 AAEL000338 AAEL017029 AAEL008099 AAEL010946 AAEL003399 AAEL008018 AAEL005695 AAEL015563 AAEL005696 AAEL006246 AAEL015445 AAEL014678 AAEL002872 AAEL008017 AAEL007032 AAEL004860 AAEL008023 AAEL007038 AAEL018075 AAEL001960 AAEL015475 AAEL002071 AAEL015591 AAEL007830 AAEL003763 AAEL007808 AAEL006827 AAEL006989 AAEL004126 AAEL007798 AAEL001288 AAEL006984 AAEL017098 AAEL015361 AAEL015362 AAEL014768 AAEL001320 AAEL015654 AAEL015655 AAEL002148 AAEL017524 AAEL001807 AAEL002067 AAEL008846 AAEL004054 AAEL006824 AAEL002085 AAEL001292 AAEL017366 AAEL009130 AAEL006992 AAEL002798 AAEL014891 AAEL014890 AAEL014893 AAEL014892 AAEL009018 AAEL006058 AAEL018043 AAEL014680 AAEL009762 AAEL000340 AAEL009699 AAEL008345 AAEL007501 AAEL008701 AAEL000326 AAEL000320 AAEL014411 AAEL014829 AAEL007812 AAEL014412 AAEL015663 AAEL014413 AAEL011769 AAEL011850 AAEL000325 AAEL001185 AAEL014019 AAEL009119 AAEL014493 AAEL009591 AAEL002005 AAEL012492 AAEL012491 AAEL004941 AAEL009117 AAEL012494 AAEL009382 AAEL009133 AAEL000357 AAEL004135 AAEL002633 AAEL015476 AAEL007807 AAEL004012 AAEL007473 AAEL006044 AAEL002638 AAEL012266 AAEL017215 AAEL013555 AAEL013554 AAEL013556 AAEL017120 AAEL002031 AAEL003322 AAEL009745 AAEL018030 AAEL005714 AAEL006163 AAEL010382 AAEL010273 AAEL018662 AAEL010370 AAEL010372 AAEL006875 AAEL014684 AAEL012773 AAEL012770 AAEL005788 AAEL007815 AAEL014924 AAEL007816 AAEL010154 AAEL006810 AAEL006811 AAEL003748 AAEL006814 AAEL006815 AAEL003890 AAEL014608 AAEL014609 AAEL014604 AAEL014605 AAEL014606 AAEL014607 AAEL014603 AAEL012772 AAEL014208 AAEL003831 AAEL005700 AAEL009138 AAEL006793 AAEL009731 AAEL009137 AAEL010367 AAEL009131 AAEL009132 AAEL017136 AAEL011761 AAEL018046 AAEL017297 AAEL008889 AAEL018045 AAEL012144 AAEL014830 AAEL013798 AAEL012761 AAEL010384 AAEL012762 AAEL012765 AAEL010380 AAEL010151 AAEL012766 AAEL012769 AAEL007416 AAEL006805 AAEL018028 AAEL014613 AAEL014612 AAEL014611 AAEL014610 AAEL014617 AAEL014616 AAEL014615 AAEL014614 AAEL010158 AAEL014619 AAEL014618 AAEL015370 AAEL005006 AAEL001312 AAEL003380 AAEL018110 AAEL009122 AAEL006784 AAEL009120 AAEL008638 AAEL009126 AAEL009125 AAEL009124 AAEL007010 AAEL009129 AAEL010391 AAEL000135 AAEL000131 AAEL011770 AAEL007795 AAEL011463 AAEL015641 AAEL009123 AAEL018044 AAEL012297 AAEL012422 AAEL012298 AAEL006802 AAEL009121 AAEL012425 AAEL002683 AAEL005775 AAEL009127 AAEL014594 AAEL006257 AAEL006795 AAEL006157 AAEL004870 AAEL007024 AAEL005771 AAEL006798 AAEL009656 AAEL002043 AAEL017539 AAEL002046 AAEL007741 AAEL004888 AAEL004071
GO:0005507	copper ion binding	AAEL001394 AAEL008483 AAEL015308 AAEL001667 AAEL016992 AAEL005869 AAEL007415 AAEL006583 AAEL001640 AAEL014058 AAEL018664 AAEL013836 AAEL014450 AAEL006779 AAEL001632 AAEL010856 AAEL003433 AAEL001672 AAEL003822 AAEL011332 AAEL007802
GO:0005501	retinoid binding	AAEL009560
GO:0015985	energy coupled proton transport, down electrochemical gradient	AAEL018668 AAEL010823 AAEL003393 AAEL004423 AAEL002827 AAEL005610 AAEL018667 AAEL004060 AAEL008848 AAEL002504 AAEL006509 AAEL801217 AAEL012175 AAEL012740 AAEL009964 AAEL006256 AAEL002813
GO:0051393	alpha-actinin binding	AAEL005667
GO:0006879	cellular iron ion homeostasis	AAEL010396 AAEL010393 AAEL007383 AAEL007385 AAEL002158 AAEL000359 AAEL004335
GO:0004104	cholinesterase activity	AAEL000511
GO:0006875	cellular metal ion homeostasis	AAEL010396 AAEL010393 AAEL007383 AAEL007385 AAEL002158 AAEL000359 AAEL004335
GO:0004109	coproporphyrinogen oxidase activity	AAEL013389
GO:0004108	citrate (Si)-synthase activity	AAEL002956 AAEL011789
GO:0051183	vitamin transporter activity	AAEL014248
GO:0008320	protein transmembrane transporter activity	AAEL005471 AAEL015575 AAEL010002
GO:0045211	postsynaptic membrane	AAEL004032 AAEL008090 AAEL012106 AAEL008587 AAEL007664 AAEL006535 AAEL013695 AAEL008055 AAEL004008 AAEL002506 AAEL002509 AAEL004061 AAEL018308 AAEL801211 AAEL002922 AAEL004006 AAEL002538 AAEL002511 AAEL018352 AAEL007966 AAEL009813 AAEL010570
GO:0046928	regulation of neurotransmitter secretion	AAEL010851 AAEL012606 AAEL015017
GO:0051156	glucose 6-phosphate metabolic process	AAEL005931 AAEL002542 AAEL015624 AAEL009507 AAEL009389 AAEL014204 AAEL010505
GO:0046923	ER retention sequence binding	AAEL005926 AAEL002086 AAEL004958 AAEL008434
GO:0046921	alpha-(1->6)-fucosyltransferase activity	AAEL008181
GO:0016857	racemase and epimerase activity, acting on carbohydrates and derivatives	AAEL004916
GO:0044699	single-organism process	AAEL006029 AAEL012312
GO:0016853	isomerase activity	AAEL010065 AAEL010590 AAEL015291 AAEL000852 AAEL007315
GO:0000050	urea cycle	AAEL002675 AAEL004701
GO:0000055	ribosomal large subunit export from nucleus	AAEL008852
GO:0000054	ribosomal subunit export from nucleus	AAEL008852
GO:0016859	cis-trans isomerase activity	AAEL012008 AAEL014933 AAEL005690 AAEL009421 AAEL007883 AAEL006244 AAEL005799 AAEL004779 AAEL007273 AAEL003303 AAEL003477 AAEL013948 AAEL000013 AAEL011758 AAEL013279 AAEL008367 AAEL006054 AAEL005541 AAEL013705 AAEL007061 AAEL001182 AAEL007008 AAEL009911 AAEL009282
GO:0004749	ribose phosphate diphosphokinase activity	AAEL006363 AAEL014449 AAEL004178
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	AAEL010644
GO:1903507	negative regulation of nucleic acid-templated transcription	AAEL004946 AAEL002721 AAEL002450 AAEL009382 AAEL002112 AAEL010107 AAEL003615 AAEL011810 AAEL014752 AAEL014203 AAEL004146
GO:0042799	histone methyltransferase activity (H4-K20 specific)	AAEL008027
GO:0035088	establishment or maintenance of apical/basal cell polarity	AAEL007915
GO:0004743	pyruvate kinase activity	AAEL012576 AAEL014913 AAEL006998
GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	AAEL004294
GO:0005641	nuclear envelope lumen	AAEL004146
GO:0004747	ribokinase activity	AAEL017172 AAEL002779
GO:0033866	nucleoside bisphosphate biosynthetic process	AAEL003770 AAEL012409 AAEL013394
GO:0018065	protein-cofactor linkage	AAEL009368
GO:0015988	energy coupled proton transmembrane transport, against electrochemical gradient	AAEL003393 AAEL002545 AAEL006828 AAEL006516 AAEL005798 AAEL011025 AAEL008787 AAEL012175 AAEL015594 AAEL012113 AAEL002546 AAEL010819 AAEL003743 AAEL002827 AAEL012035 AAEL006390 AAEL007777 AAEL006256 AAEL005173 AAEL002464 AAEL014053 AAEL000291 AAEL012740
GO:0008213	protein alkylation	AAEL010829 AAEL003522 AAEL003179 AAEL009281 AAEL001333
GO:0003972	RNA ligase (ATP) activity	AAEL003336
GO:0008216	spermidine metabolic process	AAEL001176
GO:0008215	spermine metabolic process	AAEL001378 AAEL001176
GO:0008214	protein dealkylation	AAEL001170
GO:0003979	UDP-glucose 6-dehydrogenase activity	AAEL011242
GO:0003978	UDP-glucose 4-epimerase activity	AAEL007018 AAEL007390
GO:0007274	neuromuscular synaptic transmission	AAEL008758
GO:0007275	multicellular organism development	AAEL008322 AAEL003532 AAEL002348 AAEL005627 AAEL010740 AAEL006708 AAEL015190 AAEL006801 AAEL015250 AAEL008277 AAEL005166 AAEL014566 AAEL006669 AAEL014635 AAEL008543 AAEL009949 AAEL005082 AAEL000781 AAEL004594 AAEL009947 AAEL010210 AAEL000600 AAEL005040 AAEL005826 AAEL013235 AAEL014510 AAEL006778 AAEL013160 AAEL010739 AAEL000632 AAEL000599 AAEL000618 AAEL006832 AAEL009986 AAEL008450 AAEL008455 AAEL001689 AAEL009614 AAEL008022 AAEL011396 AAEL008847 AAEL009950 AAEL003436 AAEL013010 AAEL012166 AAEL012160 AAEL015485 AAEL002321 AAEL008595
GO:0071949	FAD binding	AAEL000164 AAEL012757 AAEL000213 AAEL008512 AAEL015392 AAEL017998 AAEL004180 AAEL008879 AAEL012674
GO:0001882	nucleoside binding	AAEL008247
GO:0019441	tryptophan catabolic process to kynurenine	AAEL000428 AAEL004509
GO:0097010	eukaryotic translation initiation factor 4F complex assembly	AAEL009646
GO:0032217	riboflavin transporter activity	AAEL014248
GO:0097031	mitochondrial respiratory chain complex I biogenesis	AAEL005171
GO:0009085	lysine biosynthetic process	AAEL015621
GO:0051960	regulation of nervous system development	AAEL012824
GO:0010181	FMN binding	AAEL002703 AAEL007681 AAEL009745 AAEL015622 AAEL004676 AAEL004677 AAEL004671 AAEL003349 AAEL005401 AAEL014768
GO:0046943	carboxylic acid transmembrane transporter activity	AAEL015203 AAEL003387 AAEL014161 AAEL012131 AAEL005704 AAEL008142 AAEL003919 AAEL012133 AAEL002063 AAEL012129 AAEL012128 AAEL011654 AAEL010988 AAEL009358 AAEL011552 AAEL002525 AAEL002557 AAEL008406 AAEL009362
GO:0098655	cation transmembrane transport	AAEL018125 AAEL018317 AAEL011625
GO:0008242	omega peptidase activity	AAEL002067 AAEL000222 AAEL000271
GO:0070125	mitochondrial translational elongation	AAEL010742
GO:0003924	GTPase activity	AAEL012101 AAEL005084 AAEL013636 AAEL001019 AAEL010742 AAEL011382 AAEL017368 AAEL006020 AAEL001199 AAEL012167 AAEL004191 AAEL009037 AAEL002851 AAEL006179 AAEL004500 AAEL006642 AAEL001853 AAEL003829 AAEL008630 AAEL007288 AAEL013123 AAEL013124 AAEL013125 AAEL003109 AAEL012843 AAEL004007 AAEL010506 AAEL004172 AAEL000248 AAEL003926 AAEL010077 AAEL013064 AAEL013252 AAEL017378 AAEL801165 AAEL004471 AAEL005052 AAEL012424 AAEL002848 AAEL005071 AAEL007400 AAEL003989 AAEL017096 AAEL009241 AAEL004740 AAEL005856 AAEL008641 AAEL011168 AAEL008517 AAEL009068 AAEL003170 AAEL009287 AAEL000825 AAEL017301 AAEL008947 AAEL013229 AAEL014796 AAEL000622 AAEL004939
GO:0051964	negative regulation of synapse assembly	AAEL008758
GO:0080090	regulation of primary metabolic process	AAEL007329 AAEL006187
GO:0032039	integrator complex	AAEL010663 AAEL000033 AAEL006942 AAEL011147
GO:0044767	single-organism developmental process	AAEL006891
GO:0044765	single-organism transport	AAEL007518 AAEL007513 AAEL015287
GO:0044763	single-organism cellular process	AAEL009664 AAEL012162
GO:0051293	establishment of spindle localization	AAEL008618
GO:0000445	THO complex part of transcription export complex	AAEL000435
GO:0003746	translation elongation factor activity	AAEL003835 AAEL008517 AAEL009313 AAEL000331 AAEL017378 AAEL010742 AAEL011288 AAEL017301 AAEL000951 AAEL017096
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	AAEL002545 AAEL002546 AAEL010823 AAEL003393 AAEL002827 AAEL008848 AAEL002504 AAEL012175 AAEL007777 AAEL004060
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	AAEL005949
GO:1901701	cellular response to oxygen-containing compound	AAEL000562
GO:0003747	translation release factor activity	AAEL010339 AAEL013711 AAEL012009
GO:0008453	alanine-glyoxylate transaminase activity	AAEL010480 AAEL003508 AAEL014817
GO:0008452	RNA ligase activity	AAEL003336
GO:0030837	negative regulation of actin filament polymerization	AAEL005419
GO:0000932	cytoplasmic mRNA processing body	AAEL000262 AAEL001397
GO:0000930	gamma-tubulin complex	AAEL013064 AAEL012843
GO:0000931	gamma-tubulin large complex	AAEL011054
GO:0032450	maltose alpha-glucosidase activity	AAEL000392
GO:0070013	intracellular organelle lumen	AAEL006733 AAEL009603 AAEL011090 AAEL005866 AAEL002956 AAEL003926 AAEL004438 AAEL000629 AAEL011789 AAEL006474 AAEL007787 AAEL004004
GO:0032452	histone demethylase activity	AAEL009382
GO:0032453	histone demethylase activity (H3-K4 specific)	AAEL009382
GO:0032456	endocytic recycling	AAEL013252 AAEL801165
GO:0034440	lipid oxidation	AAEL000370 AAEL008841 AAEL000735 AAEL008574 AAEL015524 AAEL010146
GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	AAEL001158
GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity	AAEL000673
GO:0042285	xylosyltransferase activity	AAEL007409
GO:0038166	angiotensin-activated signaling pathway	AAEL005205
GO:0019135	deoxyhypusine monooxygenase activity	AAEL006129
GO:0006836	neurotransmitter transport	AAEL007518 AAEL007513 AAEL015287
GO:0032147	activation of protein kinase activity	AAEL006649
GO:0007009	plasma membrane organization	AAEL006250 AAEL011955 AAEL006245
GO:0016598	protein arginylation	AAEL005885
GO:0019915	lipid storage	AAEL002129 AAEL009624 AAEL015335
GO:0016593	Cdc73/Paf1 complex	AAEL001339 AAEL003528 AAEL006172 AAEL003976 AAEL011480
GO:0016592	mediator complex	AAEL007825 AAEL002284 AAEL006193 AAEL014501 AAEL001260 AAEL000982 AAEL010217 AAEL005022 AAEL000194 AAEL007402 AAEL010861 AAEL000720 AAEL006934 AAEL010020 AAEL004132 AAEL001883 AAEL014851 AAEL005934 AAEL000221 AAEL008244
GO:0016591	DNA-directed RNA polymerase II, holoenzyme	AAEL011399
GO:0019919	peptidyl-arginine methylation, to asymmetrical-dimethyl arginine	AAEL006782
GO:0016597	amino acid binding	AAEL017029 AAEL009475 AAEL017120
GO:0007006	mitochondrial membrane organization	AAEL012793 AAEL010450
GO:0007005	mitochondrion organization	AAEL001853 AAEL003829 AAEL007089 AAEL011606 AAEL010831
GO:0071705	nitrogen compound transport	AAEL000176
GO:0045786	negative regulation of cell cycle	AAEL005948 AAEL018288 AAEL002829 AAEL005580
GO:0045787	positive regulation of cell cycle	AAEL015375 AAEL006712
GO:0019783	ubiquitin-like protein-specific protease activity	AAEL011287 AAEL012219 AAEL009824 AAEL003517 AAEL010496 AAEL011146 AAEL013203 AAEL013253 AAEL001827 AAEL801174 AAEL012593 AAEL003733 AAEL011975 AAEL018212 AAEL011143 AAEL017159 AAEL010854 AAEL001540 AAEL002698 AAEL012146 AAEL017004
GO:0016023	cytoplasmic, membrane-bounded vesicle	AAEL014052
